,/lpc/it8688e/control/0,/lpc/it8688e/control/1,/lpc/it8688e/control/2,/lpc/it8688e/control/3,/lpc/it8688e/control/4,/lpc/it8688e/voltage/0,/lpc/it8688e/voltage/1,/lpc/it8688e/voltage/2,/lpc/it8688e/voltage/3,/lpc/it8688e/voltage/4,/lpc/it8688e/voltage/5,/lpc/it8688e/voltage/6,/lpc/it8688e/voltage/7,/lpc/it8688e/voltage/8,/lpc/it8688e/temperature/0,/lpc/it8688e/temperature/1,/lpc/it8688e/temperature/2,/lpc/it8688e/temperature/3,/lpc/it8688e/temperature/4,/lpc/it8688e/temperature/5,/lpc/it8688e/fan/0,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/0,/amdcpu/0/power/0,/amdcpu/0/clock/0,/amdcpu/0/power/2,/amdcpu/0/power/3,/amdcpu/0/power/4,/amdcpu/0/power/5,/amdcpu/0/power/6,/amdcpu/0/power/7,/amdcpu/0/temperature/0,/amdcpu/0/temperature/4,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/power/1,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/load/3,/nvidiagpu/0/control/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/4,/nvidiagpu/0/power/0,/nvidiagpu/0/throughput/0,/nvidiagpu/0/throughput/1,/hdd/0/temperature/0,/hdd/0/load/0,/hdd/1/load/0
Time,"Fan Control #1","Fan Control #2","Fan Control #3","Fan Control #4","Fan Control #5","Voltage #1","Voltage #2","Voltage #3","Voltage #4","Voltage #5","Voltage #6","Voltage #7","Standby +3.3V","VBat","Temperature #1","Temperature #2","Temperature #3","Temperature #4","Temperature #5","Temperature #6","Fan #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Total","CPU Package","Bus Speed","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Package","CPU CCD #1","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Cores","Memory","Used Memory","Available Memory","GPU Core","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Frame Buffer","GPU Video Engine","GPU Bus Interface","GPU Fan","GPU","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","GPU Power","GPU PCIE Rx","GPU PCIE Tx","Temperature","Used Space","Used Space"
09/02/2020 02:52:50,,,,,,1.14,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,46,31,32,41,2872.34033,3.125,3.125,1.5625,0,0.78125,3.90625,2.08333135,30.7536411,99.8132,0.7007776,0.852439,0.7786623,0.5206681,0.5716955,0.7715889,46.625,39.75,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,4.1958313,36.5667267,5.83257675,10.1179276,33,300,405.000031,0,3,6,0,0,41,1510,6144,1050.5625,5093.4375,17.098999,19.210001,2.9296875,2.9296875,25,1.030098,35.77957
09/02/2020 02:52:51,,,,,,0.996,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,45,31,32,41,2848.10132,2.34375,5.46875,2.34375,1.5625,0,4.6875,2.734375,32.1681061,99.8132,0.7461498,1.27773237,0.733724058,0.5769115,0.6054105,1.09284461,45.375,37.75,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,5.032773,36.56158,5.83175659,10.1187477,33,300,405.000031,0,5,6,0,0,41,1511,6144,1046.3125,5097.6875,17.0298252,19.2400017,0,0,25,1.030098,35.77957
09/02/2020 02:52:52,,,,,,0.948,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,44,31,32,41,2800.82983,1.53846145,0.7692337,0.7692337,0,0,1.53846145,0.7692337,27.6213646,99.8132,0.414006,0.43897295,0.438564152,0.331307769,0.3633908,0.5820067,44,37.5,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,2.56824827,36.563446,5.832054,10.11845,33,300,405.000031,0,0,5,0,0,41,1506,6144,1046.3125,5097.6875,17.0298252,19.2160015,0,0,25,1.030098,35.77957
09/02/2020 02:53:02,,,,,,0.996,2.016,2.04,2.004,1.104,0.912,1.38,3.264,3.096,30,32,49,31,32,41,2721.77417,0.7692337,0,0,0,0,3.8461566,0.7692337,29.7934685,99.8132,0.548137,0.6287704,0.549316,0.462339967,0.481323063,0.803274632,49.625,38.5,4341.87451,3473.49951,3473.49951,4341.87451,3473.49951,3473.49951,3.473161,36.6331367,5.84317,10.1073341,33,300,405.000031,0,1,5,0,0,41,1504,6144,1045.54688,5098.453,17.0173645,19.2020016,0,0,25,1.030098,35.7796021
09/02/2020 02:53:12,,,,,,1.056,2.016,2.052,2.004,1.092,0.912,1.38,3.288,3.096,30,32,45,30,32,41,2836.13452,1.5625,6.25,1.5625,1.5625,0.78125,7.8125,3.25520635,34.4166145,99.8132,0.884694457,1.240025,0.9317284,0.7003426,0.7992583,1.37296629,45.5,38.5,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,3767.94849,5.929015,36.68984,5.852215,10.0982895,33,300,405.000031,0,8,9,0,0,41,1504,6144,1046.9375,5097.0625,17.039999,19.12,13.671875,0.9765625,25,1.030098,35.7796021
09/02/2020 02:53:22,,,,,,1.104,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,52,30,32,41,2732.79346,0.78125,0.78125,0.78125,0,0,2.34375,0.78125,28.3093643,99.8132,0.458038777,0.495057225,0.5463334,0.369926363,0.407081455,0.6400031,52.125,38,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,2.91644049,36.6433258,5.844795,10.1057091,33,300,405.000031,0,1,5,0,0,41,1510,6144,1044.75,5099.25,17.0043945,19.1950016,0,0,25,1.030098,35.7796021
09/02/2020 02:53:32,,,,,,1.416,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,31,48,31,32,41,2909.48267,3.125,9.375,1.5625,0.78125,0.78125,1.5625,2.86458135,29.8248,99.8132,0.5434456,0.9950004,0.5530122,0.4343168,0.4451266,0.763355732,48.125,37.25,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,3368.69556,3.73425722,36.3906555,5.804493,10.1460114,33,300,405.000031,0,2,6,0,0,41,1505,6144,1044.5,5099.5,17.0003262,19.177,0,0,26,1.030098,35.77964
09/02/2020 02:53:42,,,,,,1.44,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,44,30,32,41,2789.256,2.34375,1.5625,3.125,0.78125,0,3.125,1.82291865,31.0862923,99.8132,0.6641324,0.8407948,0.9176744,0.5279864,0.5615909,0.8219387,44,37.75,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,4.334118,36.1351166,5.763733,10.1867714,33,300,405.000031,0,1,6,0,0,41,1509,6144,1045.375,5098.625,17.0145664,19.138,0,0,26,1.030098,35.77964
09/02/2020 02:53:52,,,,,,0.996,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,31,50,30,32,41,2909.48267,0.7692337,1.53846145,1.53846145,0.7692337,1.53846145,6.92307949,2.17949748,29.200201,99.8132,0.5218396,0.7240399,0.5440287,0.408530235,0.454374671,0.8945202,50.625,37.5,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,3.54733324,36.1209068,5.761467,10.1890373,33,300,405.000031,0,1,6,0,0,41,1509,6144,1058.3125,5085.6875,17.2251377,19.2890015,0,0,26,1.030098,35.77964
09/02/2020 02:54:02,,,,,,1.452,2.016,2.052,2.004,1.104,0.912,1.38,3.288,3.096,30,32,47,30,32,41,2909.48267,0.78125,0.78125,0,0,0,1.5625,0.520831347,28.6494045,99.8132,0.485659063,0.541963637,0.5045842,0.39186877,0.416884571,0.775520444,46.625,37.5,3568.322,3568.322,3568.322,3568.322,3568.322,3568.322,3.11648083,36.21504,5.77648163,10.1740227,33,300,405.000031,0,1,6,0,0,41,1511,6144,1059.125,5084.875,17.2383633,19.215,0,0,26,1.030098,35.7796173
